"Team_Id","Team_Name","bbr_match_team"
1304,"Nebraska","nebraska"
1305,"Nevada","depauw"
1306,"New Hampshire","new-hampshire"
1307,"New Mexico","new-mexico"
1308,"New Mexico St","new-mexico"
1309,"New Orleans","new-orleans"
1310,"Niagara","lamar"
1311,"Nicholls St","nicholls-state"
1312,"NJIT","njit"
1313,"Norfolk St","norfolk-state"
1314,"North Carolina","south-carolina"
1315,"North Dakota","north-dakota"
1316,"North Florida","north-florida"
1317,"North Texas","north-central"
1318,"Northeastern","northeastern"
1319,"Northern Arizona","northern-arizona"
1320,"Northern Iowa","northern-iowa"
1321,"Northwestern","northwestern"
1322,"Northwestern LA","northwestern"
1323,"Notre Dame","boise-state"
1324,"Oakland","maryland"
1325,"Ohio","ohio"
1326,"Ohio St","ohio"
1327,"Okla City","oklahoma-city"
1328,"Oklahoma","oklahoma"
1329,"Oklahoma St","oklahoma-city"
1330,"Old Dominion","old-dominion"
1331,"Oral Roberts",NA
1332,"Oregon","oregon"
1333,"Oregon St","oregon"
1334,"Pacific","pacific"
1335,"Penn","elon"
1336,"Penn St","belmont"
1337,"Pepperdine","pepperdine"
1338,"Pittsburgh","pittsburgh"
1339,"Portland","portland"
1340,"Portland St","portland"
1341,"Prairie View","prairie-view"
1342,"Presbyterian","presbyterian-blue"
1343,"Princeton","princeton"
1344,"Providence","providence"
1345,"Purdue","purdue"
1346,"Quinnipiac","quinnipiac"
1347,"Radford","radford"
1348,"Rhode Island","rhode-island"
1349,"Rice","rice"
1350,"Richmond","richmond"
1351,"Rider","rider"
1352,"Robert Morris","robert-morris"
1353,"Rutgers","butler"
1354,"S Carolina St",NA
1355,"S Dakota St",NA
1356,"S Illinois","phillips"
1357,"Sacred Heart","sacred-heart"
1358,"Sam Houston St","sam-houston-state"
1359,"Samford","samford"
1360,"San Diego","san-diego"
1361,"San Diego St","san-diego-state"
1362,"San Francisco","san-francisco"
1363,"San Jose St","san-jose-state"
1364,"Santa Barbara","uc-santa-barbara"
1365,"Santa Clara","santa-clara"
1366,"Savannah St","savannah-state"
1367,"SC Upstate","ball-state"
1368,"SE Louisiana",NA
1369,"SE Missouri St","missouri-state"
1370,"Seattle","seattle"
1371,"Seton Hall","seton-hall"
1372,"SF Austin","houston"
1373,"Siena","siena"
1374,"SMU","elon"
1375,"South Alabama","south-alabama"
1376,"South Carolina","south-carolina"
1377,"South Dakota","south-dakota"
1378,"South Florida","south-florida"
1379,"Southern Miss","southern-utah"
1380,"Southern Univ","southern-utah"
1381,"Southern Utah","southern-utah"
1382,"St Bonaventure","st.-bonaventure"
1383,"St Francis NY","st.-francis-(ny)"
1384,"St Francis PA","san-francisco"
1385,"St John's","stetson"
1386,"St Joseph's PA","saint-joseph's"
1387,"St Louis","saint-louis"
1388,"St Mary's CA","saint-mary's-(ca)"
1389,"St Peter's","saint-peter's"
1390,"Stanford","stanford"
1391,"Stetson","stetson"
1392,"Stony Brook","stony-brook"
1393,"Syracuse","syracuse"
1394,"TAM C. Christi",NA
1395,"TCU","troy"
1396,"Temple","temple"
1397,"Tennessee","tennessee"
1398,"Tennessee St","tennessee-state"
1399,"Tennessee Tech","tennessee-state"
1400,"Texas","texas"
1401,"Texas A&M","texas-am"
1402,"Texas St","texas-am"
1403,"Texas Tech","texas-am"
1404,"TN Martin","dayton"
1405,"Toledo","toledo"
1406,"Towson","towson"
1407,"Troy","troy"
1408,"Tulane","bryant"
1409,"Tulsa","texas"
1410,"UTRGV","troy"
1411,"TX Southern","southern"
1412,"UAB","ucla"
1413,"UC Davis","uc-davis"
1414,"UC Irvine","uc-irvine"
1415,"UC Riverside","uc-riverside"
1416,"UCF","ucla"
1417,"UCLA","ucla"
1418,"ULL","ucla"
1419,"ULM","ucla"
1420,"UMBC","ucla"
1421,"UNC Asheville",NA
1422,"UNC Greensboro",NA
1423,"UNC Wilmington",NA
1424,"UNLV","ucla"
1425,"USC","ucla"
1426,"UT Arlington","texas-arlington"
1427,"UT San Antonio","texas-san-antonio"
1428,"Utah","utah"
1429,"Utah St","utah-state"
1430,"Utah Valley","utah-valley"
1431,"UTEP","ucla"
1432,"Utica","utica"
1433,"VA Commonwealth",NA
1434,"Valparaiso","valparaiso"
1435,"Vanderbilt","vanderbilt"
1436,"Vermont","vermont"
1437,"Villanova","villanova"
1438,"Virginia","virginia"
1439,"Virginia Tech","virginia-tech"
1440,"VMI","njit"
1441,"W Carolina","east-carolina"
1442,"W Illinois","williams"
1443,"WKU","elon"
1444,"W Michigan","michigan"
1445,"W Salem St",NA
1446,"W Texas A&M","texas-am"
1447,"Wagner","wagner"
1448,"Wake Forest","lake-forest"
1449,"Washington","washington"
1450,"Washington St","washington"
1451,"Weber St","weber-state"
1452,"West Virginia","west-virginia"
1453,"WI Green Bay","green-bay"
1454,"WI Milwaukee","milwaukee"
1455,"Wichita St","wichita-state"
1456,"William & Mary","william--mary"
1457,"Winthrop","winthrop"
1458,"Wisconsin","wisconsin"
1459,"Wofford","wofford"
1460,"Wright St","wright-state"
1461,"Wyoming","wyoming"
1462,"Xavier","xavier"
1463,"Yale","yale"
1464,"Youngstown St","youngstown-state"
